dataset,variant,num_rounds,final_accuracy,best_accuracy,best_accuracy_round,final_balanced_accuracy,best_balanced_accuracy,final_macro_f1,best_macro_f1,final_micro_f1,final_weighted_f1,final_precision_macro,final_recall_macro,final_specificity_macro,final_sensitivity_macro,final_roc_auc_macro,best_roc_auc_macro,final_pr_auc_macro,final_ece,final_mean_confidence,final_mean_entropy,final_test_loss,inference_time_total_sec,inference_time_per_round,train_ce_loss_final,train_reg_loss_final,train_accuracy_final,training_time_per_round,training_time_total,secagg_overhead_mean_sec,group
brain_tumor_mri,gridwise_4x4_lam0.10,5,0.952679,0.952679,5,0.952679,0.952679,0.952381,0.952381,0.952679,0.952381,0.953039,0.952679,0.984226,0.952679,0.996375,0.996375,0.990505,0.026896,0.936345,0.180381,0.142912,31.939477,6.387895,0.27649,0.033306,0.903125,90.87,461.93,0.643,baseline
colon_cancer_or_pathology,gridwise_4x4_lam0.10,5,0.9995,0.9995,5,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,1.0,1.0,1.0,0.002344,0.997156,0.010551,0.003444,98.980903,19.796181,0.031657,0.016146,0.98925,255.38,1347.35,0.677,baseline
covid,gridwise_4x4_lam0.10,5,0.91519,0.920624,4,0.92419,0.92419,0.918412,0.926226,0.91519,0.91546,0.91428,0.92419,0.968828,0.92419,0.987456,0.98768,0.973022,0.029458,0.886159,0.323122,0.262113,121.792069,24.358414,0.348103,0.021957,0.876713,331.04,1689.73,0.6753,baseline
brain_tumor_mri,no_pidl,5,0.955357,0.955357,5,0.955357,0.955357,0.955597,0.955597,0.955357,0.955597,0.95639,0.955357,0.985119,0.955357,0.995894,0.995894,0.987959,0.014937,0.94226,0.16265,0.140849,28.755816,5.751163,0.268104,0.0,0.910379,68.32,360.75,0.6783,group1_pidl_type
colon_cancer_or_pathology,no_pidl,5,0.9925,0.9985,4,0.9925,0.9985,0.9925,0.9985,0.9925,0.9925,0.992611,0.9925,0.9925,0.9925,1.0,1.0,1.0,0.006117,0.986383,0.03776,0.024065,90.885722,18.177144,0.031488,0.0,0.990875,218.0,1131.73,0.6552,group1_pidl_type
covid,no_pidl,5,0.885897,0.902906,3,0.918097,0.918097,0.882614,0.9032,0.885897,0.886962,0.859023,0.918097,0.961194,0.918097,0.98394,0.985117,0.968261,0.0347,0.85221,0.396604,0.330353,97.763707,19.552741,0.345477,0.0,0.874764,231.93,1251.55,0.662,group1_pidl_type
brain_tumor_mri,global_pidl,5,0.944643,0.958036,4,0.944643,0.958036,0.944995,0.95781,0.944643,0.944995,0.947847,0.944643,0.981548,0.944643,0.995401,0.996396,0.987153,0.011904,0.9418,0.165812,0.172975,27.761964,5.552393,0.273109,0.016317,0.909933,68.2,348.83,0.6645,group1_pidl_type
colon_cancer_or_pathology,global_pidl,5,0.998,0.999,4,0.998,0.999,0.998,0.999,0.998,0.998,0.998008,0.998,0.998,0.998,1.0,1.0,1.0,0.00317,0.99575,0.013631,0.006727,89.921632,17.984326,0.030491,0.003862,0.991,217.84,1097.66,0.6672,group1_pidl_type
covid,global_pidl,5,0.908812,0.908812,5,0.925088,0.926176,0.912728,0.912728,0.908812,0.909123,0.904628,0.925088,0.966797,0.925088,0.987985,0.987985,0.975451,0.017988,0.890823,0.298937,0.2649,104.197061,20.839412,0.338123,0.004748,0.877805,248.09,1247.15,0.6682,group1_pidl_type
brain_tumor_mri,gridwise_2x2_lam0.10,5,0.944643,0.944643,4,0.944643,0.944643,0.944273,0.945016,0.944643,0.944273,0.947414,0.944643,0.981548,0.944643,0.995965,0.995965,0.989514,0.023005,0.956844,0.118503,0.17903,29.382921,5.876584,0.247736,0.020608,0.914621,70.25,363.41,0.6653,group2_grid_size
colon_cancer_or_pathology,gridwise_2x2_lam0.10,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00181,0.99819,0.00731,0.001982,90.143449,18.02869,0.028508,0.007161,0.991,220.77,1105.73,0.6642,group2_grid_size
covid,gridwise_2x2_lam0.10,5,0.921332,0.921332,5,0.933147,0.933147,0.920844,0.920844,0.921332,0.921115,0.910212,0.933147,0.969863,0.933147,0.987094,0.987094,0.973971,0.018932,0.902986,0.27445,0.235833,105.568179,21.113636,0.344667,0.011744,0.876152,239.07,1251.82,0.6625,group2_grid_size
brain_tumor_mri,gridwise_8x8_lam0.10,5,0.952679,0.953571,4,0.952679,0.953571,0.952899,0.953468,0.952679,0.952899,0.953871,0.952679,0.984226,0.952679,0.996153,0.996153,0.98937,0.011917,0.947975,0.138774,0.134262,28.137751,5.62755,0.262085,0.041904,0.908036,68.21,352.16,0.6633,group2_grid_size
colon_cancer_or_pathology,gridwise_8x8_lam0.10,5,0.9995,0.9995,3,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.9995,0.999984,1.0,0.999984,0.00093,0.99857,0.005423,0.003662,89.133281,17.826656,0.029562,0.023738,0.990437,216.63,1086.96,0.6565,group2_grid_size
covid,gridwise_8x8_lam0.10,5,0.905268,0.909993,3,0.899902,0.913266,0.911755,0.914358,0.905268,0.903471,0.930499,0.899902,0.957998,0.899902,0.987257,0.987257,0.972891,0.013644,0.912879,0.255865,0.256853,104.151716,20.830343,0.350328,0.030701,0.874173,249.09,1245.83,0.6605,group2_grid_size
brain_tumor_mri,gridwise_4x4_lam0.01,5,0.959821,0.959821,5,0.959821,0.959821,0.959905,0.959905,0.959821,0.959905,0.960028,0.959821,0.986607,0.959821,0.996667,0.996667,0.990525,0.030316,0.936629,0.185779,0.133061,29.530347,5.906069,0.263409,0.040102,0.909375,69.79,362.73,0.662,group3_lambda
colon_cancer_or_pathology,gridwise_4x4_lam0.01,5,0.9985,0.9985,5,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.998504,0.9985,0.9985,0.9985,1.0,1.0,1.0,0.00217,0.997569,0.008264,0.003092,92.224171,18.444834,0.033505,0.04112,0.989125,222.15,1116.09,0.6558,group3_lambda
covid,gridwise_4x4_lam0.01,5,0.924167,0.924167,5,0.930774,0.930774,0.925839,0.925839,0.924167,0.923923,0.921746,0.930774,0.969605,0.930774,0.987719,0.987719,0.974778,0.016236,0.910712,0.256031,0.228762,102.183561,20.436712,0.34602,0.032407,0.877805,243.02,1237.34,0.6604,group3_lambda
brain_tumor_mri,gridwise_4x4_lam0.50,5,0.965179,0.965179,5,0.965179,0.965179,0.96514,0.96514,0.965179,0.96514,0.965135,0.965179,0.988393,0.965179,0.997005,0.997005,0.991601,0.025473,0.941426,0.16842,0.120362,29.742419,5.948484,0.262573,0.016061,0.911942,70.62,365.23,0.6731,group3_lambda
colon_cancer_or_pathology,gridwise_4x4_lam0.50,5,1.0,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000767,0.999233,0.002777,0.000873,91.397609,18.279522,0.029192,0.006422,0.991,221.93,1115.23,0.6683,group3_lambda
covid,gridwise_4x4_lam0.50,5,0.92275,0.92275,5,0.926657,0.926657,0.927573,0.927573,0.92275,0.922251,0.92945,0.926657,0.968137,0.926657,0.986661,0.986661,0.973511,0.015742,0.908602,0.260772,0.231988,102.146227,20.429245,0.353814,0.009747,0.87376,240.26,1229.66,0.6608,group3_lambda
